Country,WEO,ISO,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
The Gambia,648,GMB,1117.904,1006.711,918.451,888.186,613.246,716.477,537.175,691.742,771.322,778.464,877.234,889.162,921.341,932.24,892.217,904.37,916.463,908.28,906.41,903.464,854.358,822.49,704.994,648.807,716.938,746.113,718.073,827.647,1015.355,907.499,963.529,800.32,789.626,735.236,656.497,693.01,708.855,705.038
Georgia,915,GEO,,,,,,,,,,,,,,,167.791,402.195,669.835,796.051,840.862,668.265,742.658,797.114,850.804,1006.45,1301.716,1636.703,1992.091,2626.832,3325.488,2811.925,3062.853,3825.156,4237.928,4340.711,4441.774,3759.598,3856.067,4046.89
Germany,134,DEU,11067.707,9294.292,8980.869,8991.058,8505.461,8646.016,12340.143,15353.218,16452.169,16170.706,20172.523,23364.326,26432.955,25568.585,27244.565,31901.248,30743.139,27253.126,27580.223,27053.846,24003.789,23945.534,25565.13,30779.565,34646.669,35236.678,37018.783,42531.246,46681.071,42576.208,42641.416,46852.925,44089.275,46544.947,48218.87,41415.169,42460.686,44770.578
Ghana,652,GHA,3570.67,5637.601,6416.766,4218.387,1409.55,1223.252,1106.498,906.973,941.727,935.957,1056.152,1154.351,1114.474,883.34,792.675,914.587,948.53,945.088,1001.88,1011.726,606.32,630.327,714.156,858.791,970.464,1147.602,1315.805,1516.054,1677.368,1462.796,1745.539,2123.648,2184.39,2389.773,1962.658,1753.851,1941.46,2037.953
Greece,174,GRC,5948.312,5422.695,5623.925,5050.595,4895.517,4832.492,5670.974,6577.878,7632.639,7879.212,9679.318,10282.862,11234.158,10451.746,11122.873,12997.524,13776.698,13484.135,13526.691,13901.672,12268.253,12577.02,14171.836,18530.221,22007.85,22624.066,24857.207,28899.948,32198.014,29819.229,26972.873,25896.934,22171.911,21805.257,21726.89,18114.716,18110.873,18897.637
Grenada,328,GRD,1246.003,1276.906,1347.451,1373.168,1478.411,1678.863,1873.217,2163.51,2410.287,2759.682,2888.348,3118.149,3191.017,3151.541,3270.578,3413.022,3640.139,3878.391,4401.422,4751.576,5117.59,5109.959,5292.233,5773.074,5836.178,6754.513,6766.487,7324.191,7947.427,7395.064,7365.642,7410.478,7583.189,7956.077,8569.927,9333.271,9892.48,10451.031
Guatemala,258,GTM,1014.948,1081.263,1067.959,1081.019,1102.926,1269.503,669.266,755.753,798.248,897.807,767.058,916.058,991.381,1052.61,1165.427,1279.143,1335.423,1479.006,1570.72,1448.276,1475.207,1568.379,1701.769,1753.339,1872.738,2077.835,2256.559,2489.954,2794.241,2635.743,2825.507,3187.836,3299.603,3452.83,3687.748,3923.56,4140.717,4469.457
Guinea,656,GIN,,,,,,,,,,,616.328,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,538.88,470.57,426.419,628.711,675.387,637.478,631.291,540.562,637.791,712.982,729.798,712.047,687.118,801.89
Guinea-Bissau,654,GNB,218.699,273.941,305.168,337.149,229.638,330.465,316.017,262.605,239.877,282.621,337.82,465.072,498.383,376.258,414.591,428.799,399.43,371.27,329.053,347.737,304.618,311.913,328.781,375.135,409.126,442.734,436.702,502.821,613.081,571.99,582.54,736.686,649.026,671.136,662.382,643.916,708.398,793.622
Guyana,336,GUY,731.337,710.265,600.588,611.657,612.527,628.549,698.954,883.386,836.085,1072.803,905.709,1024.369,837.991,1001.878,1209.223,1366.164,1528.558,1618.376,1511.149,1549.823,1513.77,1517.114,1560.957,1612.484,1697.202,1766.006,1956.018,2334.01,2560.997,2693.189,3004.231,3414.761,3779.463,3926.363,4029.779,4168.479,4531.241,4578.204
Haiti,263,HTI,260.453,281.633,287.754,303.4,330.237,360.211,393.132,190.252,123.631,112.003,139.691,123.002,72.415,81.256,231.269,359.759,364.991,411.606,450.945,494.256,462.491,413.718,393.004,329.766,387.951,465.33,505.495,615.81,674.858,668.272,662.013,740.848,766.807,810.172,829.911,809.672,753.91,783.789
Honduras,268,HND,955.245,1017.061,1015.87,1044.197,1092.448,1161.912,1180.452,1249.579,1351.365,1467.024,841.245,822.636,890.906,887.891,845.179,948.431,889.059,951.362,1028.088,1009.365,1088.783,1130.406,1132.872,1157.306,1217.655,1311.741,1437.626,1592.571,1751.597,1802.875,1919.472,2113.277,2178.415,2136.742,2242.712,2341.277,2382.608,2491.474
Hong Kong SAR,532,HKG,5664.005,5953.184,6096.008,5551.001,6127.277,6444.906,7328.419,8980.83,10453.711,11928.483,13280.622,15190.414,17586.418,19925.115,22038.531,22908.926,24698.956,27214.595,25649.085,24969.005,25574.491,25166.902,24731.081,23856.482,24873.898,26551.769,28028.157,30494.551,31487.94,30593.991,32422.056,34951.031,36619.811,38230.066,40182.28,42321.712,43496.299,46091.216
Hungary,944,HUN,2151.154,2206.805,2249.656,2046.101,1989.614,2022.666,2338.458,2582.471,2838.147,2909.278,3311.854,3349.754,3732.903,3870.507,4169.964,4490.561,4520.861,4590.835,4744.21,4795.711,4628.314,5276.6,6655.221,8413.014,10286.309,11193.837,11441.421,13893.381,15729.058,13019.039,13073.96,14097.944,12873.202,13646.269,14182.698,12487.225,12818.716,14264.252
Iceland,176,ISL,15133.103,15454.708,14008.881,11865.27,12139.43,12517.151,16585.858,22795.638,24840.125,22646.588,25651.419,27183.019,27383.229,23749.384,24142.695,26711.55,27914.45,28090.864,31184.566,32539.786,32265.459,28957.269,32433.603,39567.447,47612.444,57267.863,57408.956,69928.197,56759.305,41220.967,43080.596,47600.734,46073.943,49815.679,54527.563,52838.356,62004.698,72389.872
India,534,IND,276.35,280.764,284.468,303.761,288.563,311.426,324.248,356.246,368.341,361.454,385.378,318.104,332.497,315.42,362.366,391.249,418.63,434.709,432.225,462.218,462.978,471.701,491.989,571.555,656.517,747.335,837.46,1076.835,1048.735,1153.188,1422.929,1497.746,1481.562,1485.595,1610.355,1639.69,1761.626,2014.013
Indonesia,536,IDN,673.239,736.992,741.946,659.474,672.201,658.217,610.234,562.902,621.934,696.874,770.757,847.573,907.767,1013.057,1115.613,1254.023,1394.497,1308.114,572.09,829.574,870.154,834.139,1002.907,1186.845,1280.696,1403.876,1764.79,2064.232,2418.043,2464.956,3178.133,3688.531,3744.53,3684,3533.606,3367.691,3605.721,3884.718
Islamic Republic of Iran,429,IRN,2380.477,2484.973,3007.012,3537.949,3495.221,3776.613,4222.513,5465.15,6137.679,7128.938,10556.089,5417.511,872.336,1131.193,1412.712,1954.868,2620.047,3041.22,3364.215,4387.747,5698.409,5119.721,1957.433,2272.5,2734.027,3288.366,3834.729,4929.064,5621.054,5608.976,6504.869,7680.859,5118.474,5152.037,5395.791,4723.476,5026.648,5289.795
Iraq,433,IRQ,,,,,,,,,,,,,,,,,,,,,,,,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6704.313,5047.118,4714.468,5210.644
Ireland,178,IRL,6250.242,5884.518,6076.233,5837.997,5590.053,5932.683,7990.638,9416.545,10362.026,10751.235,13640.502,13743.875,15327.074,14258.315,15450.496,19080.798,20774.86,22461.548,24172.174,26189.625,26151.622,28079.52,32438.465,40921.155,47336.152,50475.596,53762.863,60812.431,61193.195,52100.83,48716.462,51931.995,48892.231,51550.927,55534.102,61702.511,63289.731,68722.578
Israel,436,ISR,6074.51,6390.571,6728.222,7347.643,6867.309,6271.234,7602.204,8934.32,10886.15,10888.824,12457.359,13306.312,14354.758,14055.775,15641.496,18088.167,19334.859,19682.853,19416.227,19127.555,21038.051,20302.391,18433.046,18963.273,19885.354,20559.211,21836.337,24907.918,29557.068,27726.359,30670.34,33713.121,32556.96,36359.933,37750.29,35869.725,37382.957,40560.256
Italy,136,ITA,8560.633,7750.799,7653.955,7937.298,7841.815,8094.688,11462.724,14387.755,15936.292,16562.867,20654.537,21798.596,23119.691,18575.43,19152.126,20607.138,23032.907,21808.664,22282.156,21967.88,20112.612,20419.537,22288.641,27488.526,31239.993,31958.532,33339.747,37685.357,40689.108,36849.944,35657.647,38003.359,34469.65,35219.817,35456.675,30153.407,30824.303,32132.468
Jamaica,343,JAM,1214.379,1310.503,1479.509,1289.23,948,878.359,1034.771,1158.596,1372.734,1588.557,1971.695,1799.773,1804.411,2280.661,2266.075,2657.668,2975.134,3347.367,3467.544,3473.435,3510.575,3529.711,3700.053,3562.456,3816.905,4187.91,4430.505,4756.273,5054.564,4435.269,4812.255,5232.302,5332.494,5104.904,4953.222,5029.073,4986.453,5193.489
Japan,158,JPN,9466.402,10363.516,9577.94,10424.374,10981.923,11580.2,17118.391,20755.509,25065.131,24830.994,25379.595,28923.312,31429.621,35698.906,39219.812,43441.33,38450.955,35034.538,31915.735,36039.077,38535.586,33850.883,32300.666,34831.196,37696.723,37223.77,35463.873,35342.476,39453.494,41014.185,44673.608,48168.804,48632.903,40490.155,38156.33,34568.925,38804.858,38344.022
Jordan,439,JOR,1645.769,1783.024,1829.808,1845.105,1788.172,1726.937,2126.684,2158.264,1944.317,1252.55,1168.512,1157.624,1353.052,1320.375,1409.786,1454.165,1468.995,1499.555,1605.609,1624.979,1657.911,1728.164,1812.292,1889.218,2061.461,2203.088,2537.302,2762.815,3384.153,3492.099,3679.19,3826.552,3930.945,4054.771,4129.994,4145.481,4151.16,4201.656
Kazakhstan,916,KAZ,,,,,,,,,,,,,168.645,304.849,737.242,1058.581,1349.597,1457.025,1445.895,1132.126,1230.49,1491.652,1657.151,2062.291,2862.5,3753.439,5261.026,6733.448,8349.288,7116.504,9005.26,11553.127,12300.476,13789.254,12712.103,10434.755,7658.458,8953.477
Kenya,664,KEN,641.654,582.63,541.284,484.062,485.688,467.396,536.791,569.04,570.524,546.95,552.681,506.802,484.699,326.994,380.183,468.002,516.168,507.78,564.736,500.113,479.303,479.603,473.995,524.743,549.163,621.283,743.439,895.226,978.454,982.003,1038.953,1054.979,1238.875,1318.788,1431.319,1453.296,1559.391,1695.151
Kiribati,826,KIR,702.094,735.458,680.896,617.277,661.104,500.889,479.615,1080.928,658.655,637.484,600.45,645.746,646.914,623.58,716.416,721.087,847.061,839.086,805.03,832.622,802.478,732.872,824.831,1016.381,1128.371,1212.132,1166.435,1376.275,1456.908,1332.071,1518.57,1741.139,1798.255,1731.38,1655.862,1556.496,1598.885,1641.565
Korea,542,KOR,1704.467,1870.343,1977.63,2180.503,2390.686,2457.328,2803.356,3511.001,4686.148,5736.943,6516.267,7523.443,8001.532,8740.937,10205.86,12332.929,13137.854,12131.885,8085.341,10409.356,11947.604,11252.866,12782.543,14209.341,15907.677,18639.523,20888.38,23060.709,20430.64,18291.92,22086.953,24079.79,24358.78,25890.016,27811.367,27105.078,27608.248,29749.796
Kosovo,967,UVK,,,,,,,,,,,,,,,,,,,,,1423.317,1706.38,1788.219,2182.801,2219.995,2265.779,2340.117,2792.682,3323.131,3243.825,3290.697,3763.399,3581.934,3885.783,4098.918,3637.434,3766.258,4026.798
Kuwait,443,KWT,20966.177,17631.854,14417.541,12973.988,13410.421,12670.687,9653.473,10956.483,9640.407,11359.505,8588.145,7960.513,13989.932,16213.488,13549.775,13871.989,15068.13,13740.681,11424.919,13358.134,17012.776,15108.112,15759.074,18786.749,21585.563,27014.773,31907.199,33732.522,42827.126,30414.739,32216.413,41657.444,45726.188,44754.341,40278.045,27398.083,25267.146,26863.331
Kyrgyz Republic,917,KGZ,,,,,,,,,,,,,207.064,147.505,244.772,324.843,390.962,373.374,339.082,254.832,277.937,307.038,320.43,378.357,431.162,473.873,540.539,719.775,960.95,865.597,875.264,1116.335,1166.15,1269.791,1266.639,1109.428,1109.589,1231.145
Lao P.D.R.,544,LAO,613.554,351.826,344.14,613.776,855.596,1047.035,712.071,487.675,308.818,370.816,426.322,487.955,543.561,595.309,673.42,763.126,775.942,716.319,267.284,278.724,333.16,334.638,345.385,416.07,479.63,542.382,686.652,822.36,1013.823,1080.469,1242.962,1463.469,1640.935,1899.979,2075.142,2212.402,2416.855,2555.093
Latvia,941,LVA,,,,,,,,,,,,,632.908,1022.24,1724.98,2163.462,2417.455,2669.569,2965.155,3140.33,3334.254,3548.505,4116.125,5111.495,6315.403,7533.788,9635.172,14010.237,16316.827,12131.328,11228.129,13735.616,13762.164,14951.88,15680.89,13587.684,14071.876,15652.613
Lebanon,446,LBN,1575.556,1517.329,1038.758,1431.393,1692.11,1397.479,1073.331,1242.792,1235.084,1002.248,1035.462,1594.75,1937.9,2561.286,3019.671,3614.217,4173.208,5019.859,5474.552,5436.75,5256.615,5163.658,5343.647,5260.892,5473.481,5390.208,5434.252,6086.795,7109.513,8480.989,8858.284,8734.189,8996.561,8882.804,8619.257,8540.387,8530.362,8778.472
Lesotho,666,LSO,366.604,362.633,294.238,315.39,287.56,224.453,251.604,313.97,346.852,350.492,411.213,460.132,513.336,500.558,517.009,552.965,527.61,555.911,511.821,501.76,487.528,403.301,441.119,637.051,794.361,851.046,870.724,1001.122,922.427,1082.998,1309.59,1431.874,1358.874,1273.884,1336.387,1179.115,1216.635,1352.702
Liberia,668,LBR,,,,,,,,,,,,,,,,,,,,,329.508,329.222,329.274,260.968,307.058,316.487,360.524,424.942,512.351,504.518,550.36,640.709,707.708,777.479,777.021,764.411,772.393,754.663
Libya,672,LBY,13031.83,10762.563,10247.108,9371.005,8411.48,8319.667,6524.775,5815.611,5795.806,5881.526,7193.535,7776.953,7703.526,6780.858,6192.591,6882.208,7372.447,7424.949,5980.039,7067.876,7388.136,6485.16,3833.574,4831.424,5988.392,8467.716,9659.637,11711.138,12570.871,8524.772,11417.422,5402.251,12693.637,8282.151,3876.411,2719.954,2903.741,4739.917
Lithuania,946,LTU,,,,,,,,,,,,,,,,1845.673,2328.215,2830.751,3166.964,3113.638,3297.451,3530.201,4146.106,5505.586,6706.027,7880.346,9246.514,12313.169,15047.25,11866.627,12010.676,14386.61,14354.291,15695.744,16584.719,14299.136,14988.706,16863.646
Luxembourg,137,LUX,17738.531,15251.808,12514.668,12284.381,12032.97,12444.143,18022.939,22239.519,24976.565,26333.472,33201.25,35490.115,39219.739,39643.49,43482.858,50911.117,49920.89,44382.169,45821.99,49539.609,49173.442,48489.549,53348.367,66045.429,76318.336,81104.54,90494.693,107013.816,115987.042,104357.921,106184.607,117340.49,108047.815,114998.316,120449.605,101665.002,102361.016,105712.976
Macao SAR,546,MAC,,,,,,,,,,,,,,,,,,,,,,15611.341,16622.642,18346.564,22881.103,24969.752,28805.634,34084.156,38086.666,39615.339,50921.113,65867.576,73937.747,84859.859,86997.503,70132.996,70278.052,77414.524
Madagascar,674,MDG,462.133,400.155,382.414,371.103,302.587,286.317,317.449,242.877,224.537,222.92,266.876,225.006,244.673,266.592,228.295,234.888,287.765,247.437,252.756,243.816,246.283,278.987,262.742,317.421,245.67,275.516,292.991,379.066,472.38,417.177,414.145,456.329,444.958,462.46,452.81,400.348,399.689,447.657
Malawi,676,MWI,326.983,318.032,295.582,298.052,284.324,254.768,251.755,232.783,251.93,272.96,298.716,371.869,300.049,343.226,197.546,227.197,363.682,414.359,264.97,261.557,250.462,240.396,272.824,245.144,259.727,267.785,284.729,306.9,358.416,405.62,442.765,493.843,359.588,317.471,343.979,353.507,294.755,324.813
Malaysia,548,MYS,1899.977,1893.237,1978.383,2158.889,2385.618,2124.286,1837.926,2041.02,2182.863,2347.175,2549.611,2844.899,3331.389,3664.867,3971.093,4612.497,5103.04,4941.362,3470.465,3710.067,4286.832,4130.378,4379.641,4673.914,5171.417,5599.049,6264.419,7378.585,8646.566,7439.435,8920.481,10252.588,10655.464,10699.659,11008.868,9511.81,9380.975,9827.669
Maldives,556,MDV,412.508,464.914,534.906,560.243,646.388,737.78,835.636,769.824,897.934,987.814,1091.55,1184.664,1343.012,1479.446,1591.14,1903.127,2107.605,2553.949,2658.803,2842.658,2967.253,2780.451,2952.215,3690.792,4238.041,3960.43,5268.781,6128.46,7337.931,7450.777,8086.665,8078.262,8719.534,9766.148,10787.471,11781.094,12447.185,13510.169
Mali,678,MLI,286.454,234.094,202.86,191.973,187.769,185.354,252.941,290.075,287.083,345.585,387.839,387.973,389.751,379.108,282.773,356.81,355.7,325.445,329.005,331.765,277.783,316.174,345.481,404.829,453.969,504.789,539.577,616.721,716.361,721.976,732.454,861.687,801.084,827.347,872.027,772.639,802.407,853.905
Malta,181,MLT,,,,,,,,,,,,,,,,8943.296,9071.562,9111.743,9583.837,9944.329,10440.479,10391.869,11337.664,13648.264,15126.472,15899.493,16765.532,19584.633,22116.124,20806.321,21150.423,22918.101,22070.54,24032.664,26319.614,24336.828,25411.365,27707.376
Marshall Islands,867,MHL,,,,,,,,,,,,,,,,,,2185.537,2199.801,2148.98,2195.083,2309.828,2546.271,2576.426,2630.462,2740.614,2849.332,2978.24,2958.77,2962.443,3180.495,3302.319,3497.434,3590.891,3444.55,3363.371,3652.923,3775.942
Mauritania,682,MRT,,,,,,,,,,,597.724,666.669,683.817,568.197,581.873,608.163,601.769,567.223,537.92,534.706,477.468,464.222,460.947,528.573,601.782,697.549,965.561,1009.068,1167.525,1046.83,1203.375,1393.253,1364.277,1450.572,1326.665,1154.982,1089.425,1112.869
Mauritius,684,MUS,1268.107,1186.583,1124.4,1179.733,1080.41,1085.141,1454.116,1827.431,2104.548,2146.046,2555.86,2781.631,3091.412,3148.796,3446.307,3902.222,3993.479,3703.632,3701.865,3859.149,4102.593,4026.943,4196.429,5005.417,5626.004,5516.198,5695.975,6574.664,8030.052,7318.126,8000.376,9197.043,9291.236,9637.016,10151.727,9258.563,9681.416,10491.068
Mexico,273,MEX,3295.891,4135.806,2934.847,2341.273,2703.332,2810.06,1906.82,2050.329,2459.992,2940.086,3335.464,3927.96,4479.321,5467.155,5672.01,3810.928,4286.479,5148.07,5346.19,6019.94,7016.24,7409.68,7465.916,6964.629,7383.023,8189.161,8997.269,9588.507,9973.021,7975.422,9258.198,10204.512,10261.045,10764.334,10980.985,9673.643,8814.916,9376.986
Micronesia,868,FSM,,,,,,,,,,,,,,,,2094.48,2060.874,1944.21,2054.62,2061.643,2179.424,2257.322,2277.946,2311.653,2268.897,2370.444,2413.778,2457.377,2531.364,2710.27,2885.869,3032.447,3192.666,3095.855,3112.864,3080.327,3241.255,3548.96
Moldova,921,MDA,,,,,,,,,,,,,280.954,362.191,377.365,470.121,554.34,633.014,557.897,385.906,434,489.91,551.248,658.922,866.001,999.052,1142.31,1478.475,2036.943,1831.31,1959.627,2364.735,2446.303,2669.23,2675.043,2174.329,2273.158,2726.536
Mongolia,948,MNG,,,,,,,,,,,1502.357,1544.558,841.983,411.013,488.441,754.781,688.951,596.101,559.492,520.73,552.979,610.301,662.699,747.092,919.755,989.177,1321.611,1616.137,2109.269,1687.55,2602.373,3702.359,4281.33,4293.834,4081.015,3842.536,3576.857,3597.858
Montenegro,943,MNE,,,,,,,,,,,,,,,,,,,,,1577.088,1870.594,2062.168,2733.985,3370.871,3679.44,4431.06,5984.678,7402.671,6744.163,6694.342,7325.659,6590.433,7189.148,7389.886,6517.419,7028.208,7779.366
Morocco,686,MAR,1132.089,895.782,881.181,778.036,695.127,685.329,884.05,952.577,1102.828,1109.286,1248.809,1310.61,1343.358,1239.049,1369.643,1479.276,1612.853,1442.425,1519.174,1492.184,1373.92,1376.532,1453.941,1768.603,1999.125,2063.312,2242.729,2549.881,2946.926,2922.586,2896.564,3111.538,2979.738,3200.479,3259.721,2964.961,2996.652,3147.847
Mozambique,688,MOZ,444.797,337.264,336.635,295.418,302.875,396.187,463.218,209.547,184.504,192.13,304.385,231.543,151.715,152.109,159.082,157.934,210.628,242.999,271.933,290.316,255.35,243.134,257.603,279.204,330.198,361.492,382,423.366,502.5,475.416,429.948,524.891,589.818,604.999,619.907,528.934,379.004,426.091
Myanmar,518,MMR,,,,,,,,,,,,,,,,,,,128.036,154.663,195.621,182.31,162.283,197.611,246.159,274.473,295.172,362.973,512.417,643.149,800.245,1080,1156.903,1187.524,1230.527,1219.478,1156.891,1166.04
Namibia,728,NAM,,,,,,,,,,,2109.532,2034.92,2070.995,1922.824,2100.279,2197.585,2126.349,2143.726,1837.305,1874.47,2139.706,1939.787,1811.249,2607.864,3440.966,3708.785,4007.733,4378.564,4198.55,4340.183,5410.977,5870.933,6038.862,5793.927,5717.763,5160.201,4852.047,5593.303
Nauru,836,NRU,,,,,,,,,,,,,,,,,,,,,,,,,3122.457,3094.19,3113.76,2211.395,4185.191,4634.289,4936.669,7214.337,10005.006,10036.184,9872.939,8055.542,7823.642,8574.738
Nepal,558,NPL,132.86,151.835,149.927,160.26,165.649,168.169,178.96,181.61,209.438,206.874,207.703,221.426,195.816,204.632,208.153,220.397,221.918,235.992,229.848,231.853,241.384,243.808,243.256,253.616,287.4,319.028,348.632,393.848,473.841,480.72,592.152,695.694,681.792,688.584,705.94,747.161,730.984,849.011
Netherlands,138,NLD,13668.934,11378.797,10973.159,10643.041,9867.245,9964.005,13810.051,16807.924,17869.584,17514.505,21457.915,21931.771,24061.887,23237.631,24824.406,29284.582,29016.44,26733.011,27924.505,28299.668,26220.068,26891.919,29294.213,35734.217,40404.223,42046.721,44901.089,51804.204,57916.253,52648.416,51046.246,54209.22,50100.615,52201.723,52914.136,45205.77,46027.694,48555.353
New Zealand,196,NZL,7203.517,7458.186,7326.447,7022.034,6919.016,6901.934,8323.398,11122.524,13561.987,13015.523,13363.054,12356.539,11691.421,12451.143,14492.628,16784.071,18356.512,18115.847,14827.975,15280.988,13978.23,13560.579,15552.302,20304.755,24689.819,27206.073,26077.523,31784.19,31663.804,28099.897,33222.255,37985.398,39553.735,41775.712,43857.784,37741.881,38982.796,41350.257
Nicaragua,278,NIC,,,,,,,,,,,,,,,854.126,897.716,916.519,917.106,951.837,981.02,1016.421,1045.954,1010.053,1015.403,1091.002,1175.114,1240.992,1344.301,1518.805,1464.251,1526.494,1682.955,1792.041,1847.201,1975.465,2073.494,2143.812,2221.801
Niger,692,NER,461.461,386.192,346.882,299.592,234.733,223.986,286.747,325.893,322.586,298.892,329.645,299.573,291.834,267.092,181.67,197.222,204.029,181.69,200.631,188.221,159.23,164.088,180.832,223.463,237.215,263.785,275.509,312.751,382.36,368.278,378.205,410.743,431.37,462.028,481.612,411.122,418.272,433.74
Nigeria,694,NGA,,,,,,,,,,,686.475,645.45,546.094,577.535,792.81,1273.271,1618.287,1713.375,1861.065,496.495,570.17,598.294,748.313,797.64,982.976,1245.073,1591.326,1822.793,2234.359,1958.577,2365.013,2582.57,2797.857,3042.045,3268.391,2763.196,2207.861,1994.645
North Macedonia,962,MKD,,,,,,,,,,,,,1263.863,1383.543,1824.418,2387.158,2348.109,1980.429,1888.755,1931.989,1878.237,1839.616,1974.061,2440.813,2796.622,3071.897,3359.608,4076.296,4838.148,4579.092,4576.228,5174.894,4728.267,5239.722,5498.606,4860.421,5153.016,5448.428
