Country,WEO,ISO,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Norway,142,NOR,15746.212,15484.681,15196.29,14906.207,14968.787,15728.224,18853.07,22445.073,24143.155,24245.447,28187.218,28514.498,30432.927,27880.632,29236.408,34789.46,37224.69,36560.864,34717.452,36278.683,38063.119,38501.575,42974.684,50023.114,57478.74,66652.737,73936.764,84946.459,96626.3,79836.109,87432.376,100307.39,101273.375,102722,96837.607,74280.697,70703.165,75513.639
Oman,449,OMN,4674.114,5251.746,5510.962,5363.892,5517.394,6129.204,4548.852,4488.916,4362.946,4605.009,6340.52,5937.75,6292.658,6102.666,6116.027,6355.283,6864.964,6965.197,6037.746,6605.919,8120.715,7961.211,8108.723,8565.258,9635.825,11873.176,13938.207,15436.806,21866.269,16784.913,19774.797,22726.637,23282.204,21920.148,21814.151,18243.808,16447.318,17128.372
Pakistan,564,PAK,384.902,442.247,469.6,426.342,450.309,438.235,436.969,445.068,500.308,508.691,495.989,551.237,565.905,583.709,573.819,654.027,666.464,641.566,624.156,617.576,583.32,555.226,544.369,611.429,705.723,776.77,883.243,963.279,1037.612,998.186,1031.652,1218.342,1254.17,1266.742,1312.427,1424.954,1439.63,1545.938
Palau,565,PLW,,,,,,,,,,,,,,,,,,,,,7567.544,8092.968,8365.523,7828.409,8345.659,9277.002,9534.878,9978.702,10365.912,9803.726,9999.052,10767.401,12304.297,12853.23,13961.499,16597.248,16828.691,15885.874
Panama,283,PAN,2038.172,2252.051,2429.949,2437.808,2487.416,2573.287,2616.159,2571.627,2176.564,2137.259,2276.276,2450.196,2726.974,2916.29,3046.035,3050.717,3524.097,3731.099,3963.406,4070.418,4046.456,4029.975,4106.466,4244.176,4565.096,4886.41,5315.835,6127.034,7110.228,7532.399,8039.764,9314.687,10674.487,11841.893,12756.952,13606.597,14356.447,15198.089
Papua New Guinea,853,PNG,1404.853,1342.349,1244.662,1215.43,1098.366,992.937,1057.889,1180,1592.381,1480.334,1287.934,1469.255,1573.472,1743.474,1866.89,1609.132,1668.285,1553.999,1158.158,1030.838,1025.035,877.089,850.612,1012.581,1111.442,1264.811,1403.678,1576.142,1883.501,1833.075,2132.181,2552.03,2865.807,2800.157,2973.289,2605.935,2353.468,2463.624
Paraguay,288,PRY,1299.661,1608.463,1636.527,1762.992,1390.886,1154.145,1335.761,1084.695,1392.417,977.835,1185.277,1585.242,1592.055,1580.207,1681.396,1897.134,2008.188,2003.578,1824.648,1706.395,1675.793,1577.681,1312.083,1377.521,1693.886,1857.773,2284.975,2988.681,4047.755,3622.628,4347.206,5298.454,5151.373,5882.781,6050.042,5353.075,5259.938,5609.848
Peru,293,PER,1164.828,1373.068,1332.455,1011.725,1018.785,861.599,1263.729,2040.65,1579.545,1908.456,1301.465,1530.736,1562.58,1487.861,1863.304,2179.183,2221.558,2297.785,2168.232,1929.712,1962.982,1957.517,2036.375,2178.487,2429.335,2695.726,3121.91,3587.798,4227.529,4165.803,5051.256,5733.22,6402.12,6632.217,6561.775,6147.838,6175.884,6728.093
Philippines,566,PHL,752.815,806.599,819.872,715.13,659.363,627.535,597.839,648.255,723.483,794.104,805.632,806.935,919.701,922.189,1062.278,1200.429,1276.661,1240.769,958.16,1077.999,1051.973,970.377,1013.424,1024.77,1093.48,1208.934,1405.206,1683.688,1940.995,1851.073,2155.409,2379.941,2591.627,2768.472,2849.267,2882.768,2953.208,2988.897
Poland,964,POL,1591.91,1494.896,1799.918,2052.913,2038.025,1896.081,1961.676,1687.804,1815.815,1768.606,1625.844,2101.345,2311.094,2347.117,2687.41,3605.161,4058.183,4067.962,4450.329,4339.597,4476.245,4978.051,5195.281,5691.335,6684.461,8019.766,9035.259,11264.718,14004.757,11541.353,12601.915,13886.833,13158.073,13777.295,14342.832,12565.735,12427.647,13867.607
Portugal,182,PRT,3339.09,3296.976,3095.398,2838.933,2596.329,2716.911,3774.951,4724.913,5533.16,5978.162,7958.021,9027.183,10864.549,9548.576,9978.59,11788.467,12187.556,11597.701,12220.178,12490.929,11533.827,11737.174,12922.15,15799.892,18064.472,18815.438,19837.971,22811.573,24933.171,23122.556,22580.678,23217.343,20588.873,21625.482,22112.538,19262.274,19985.547,21334.134
Puerto Rico,359,PRI,4507.15,4940.784,5146.929,5257.186,5777.438,6058.641,6495.499,6987.398,7579.339,8094.29,8675.576,9093.48,9687.443,10255.532,10942.949,11667.589,12305.024,12968.394,14430.159,15293.182,16192.127,18243.709,18972.77,19820.208,20988.989,21959.317,22935.951,23664.874,24898.335,25768.726,26435.742,27278.853,27944.742,28513.15,28981.343,29755.35,30475.357,31581.394
Qatar,453,QAT,31999.31,32677.158,26613.591,21147.403,20551.617,18201.415,13677.704,13828.961,12749.102,12967.628,15446.332,14189.043,15616.953,14546.04,14894.69,16238.346,17677.59,21337.1,18633.92,21660.445,29914.266,28666.61,30748.535,35644.406,44051.659,54228.833,62920.646,69166.962,74189.292,59683.144,72953.444,96827.857,101933.117,99180.39,93054.141,66346.911,57965.377,62826.062
Romania,968,ROU,2065.221,2466.043,2456.844,2138.766,1721.254,2115.458,2278.867,2534.073,2609.661,2329.567,1652.369,1249.01,853.108,1154.672,1325.482,1573.126,1575.497,1581.753,1897.422,1611.132,1669.978,1817.045,2118.572,2768.119,3541.52,4662.666,5811.44,8262.407,10385.848,8517.598,8190.571,9081.724,8518.923,9537.82,10004.876,8950.463,9538.926,10761.712
Russia,922,RUS,,,,,,,,,,,,,617.745,1325.505,1997.533,2263.512,2833.107,2934.359,1969.196,1427.745,1899.41,2251.273,2547.868,3186.717,4392.862,5693.94,7395.819,9721.855,12429.087,9149.11,11406.188,14271.682,15358.085,15942.141,14305.57,9477.559,8909.547,10961.992
Rwanda,714,RWA,270.525,296.19,304.582,313.504,293.235,336.894,368.93,395.849,409.149,413.152,385.963,276.23,292.942,301.087,206.465,226.63,248.486,319.386,312.589,262.564,229.235,209.117,200.121,215.302,240.947,293.248,349.992,415.706,511.872,554.564,577.411,636.44,696.73,709.834,727.969,736.378,734.822,773.949
Samoa,862,WSM,,,,,,,,,,,,,,,,,,,1613.013,1469.932,1511.677,1516.881,1595.803,1876.744,2280.71,2633.305,2775.164,3038.858,3634.995,3170.109,3430.856,3939.695,4233.328,4219.066,4178.979,4149.36,4015.214,4258.343
San Marino,135,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,72991.32,79170.462,66988.912,60430.541,57500.385,50335.061,51987.253,51234.811,43068.684,44309.093,45882.357
São Tomé and Príncipe,716,STP,773.85,931.011,876.128,800.45,812.985,837.601,1143.388,1120.792,922.926,891.971,1050.332,920.765,790.824,1033.018,1058.931,820.617,261.65,351.128,398.575,408.704,415.999,505.213,552.891,647.954,692.685,809.407,839.546,885.101,1117.491,1084.167,1107.873,1273.159,1342.707,1569.619,1763.383,1555.969,1705.692,1846.724
Saudi Arabia,456,SAU,17655.143,18832.057,14912.742,11972.192,10558.766,8732.74,6955.053,6524.159,6398.839,6583.29,7734.975,8280.176,8077.765,7686.005,7626.36,7893.422,8527.666,8706.354,7525.303,8092.7,9256.541,8778.391,8822.507,9800.529,11467.097,14068.219,15603.985,16666.626,20157.298,16094.678,19163.337,23654.865,25208.162,24892.99,24580.472,21094.595,20317.679,21153.205
Senegal,722,SEN,781.318,689.676,656.587,569.224,539.145,573.039,786.525,917.907,880.712,842.541,952.417,910.029,946.739,869.094,576.64,706.207,714.635,643.171,679.9,676.012,603.472,609.716,651.454,815.154,928.964,981.308,1026.096,1204.905,1395.408,1297.944,1257.744,1345.409,1301.512,1343.179,1361.349,1186.925,1231.651,1333.419
Serbia,942,SRB,,,,,,,,,,,,,,,,,,2925.927,2300.699,1507.679,1238.888,1640.945,2156.887,2836.54,3315.331,3695.343,4398.828,5878.873,7087.453,6168.228,5673.62,6809.94,6012.63,6752.796,6598.935,5585.117,5756.384,6284.196
Seychelles,718,SYC,2329.353,2403.455,2293.938,2280.452,2338.076,2588.553,3165.945,3638.988,4128.118,4407.201,5302.844,5314.655,6128.346,6559.088,6555.429,6748.825,6583.091,7280.929,7715.784,7747.491,7578.829,7663.083,8431.923,8524.935,10176.659,11093.314,12014.418,12155.702,11123.004,9707.265,10805.099,11647.017,11999.897,14762.223,14701.368,14786.118,15219.117,15859.382
Sierra Leone,724,SLE,490.441,513.084,565.071,479.982,552.183,460.718,337.502,287.721,461.77,414.406,224.573,268.084,234.027,266.103,317.336,304.147,327.823,294.274,230.249,224.923,210.745,233.996,258.174,272.053,271.396,299.269,331.015,368.86,418.785,399.926,410.595,457.917,578.302,731.066,721.558,599.574,522.355,506.011
Singapore,576,SGP,5003.793,5670.741,5998.019,6714.501,7155.389,6781.924,6864.317,7786.645,9316.362,10711.03,12766.058,14504.601,16144.339,18302.534,21577.837,24937.271,26262.256,26386.354,21824.014,21796.254,23793.113,21576.807,22016.976,23573.854,27404.812,29869.899,33579.155,39223.538,39722.148,38577.168,46569.395,53363.94,54891.873,56519.348,57271.717,55330.507,56454.739,59990.058
Slovak Republic,936,SVK,,,,,,,,,,,,,,2561.19,2938.631,3696.566,3989.983,4069.745,4232.73,3864.179,3832.538,3976.091,4620.66,6330.051,8027.234,9129.071,10683.501,14349.947,18048.555,16567.154,16634.686,18223.895,17294.62,18205.908,18668.684,16197.783,16564.909,17627.111
Slovenia,961,SVN,,,,,,,,,,,,,9603.574,8326.915,8436.809,10708.565,10797.085,10463.46,11157.744,11498.633,10286.104,10501.874,11841.814,14905.102,17282.619,18222.579,19777.132,23959.166,27784.009,24785.048,23499.587,25040.519,22563.157,23378.09,24243.945,20904.665,21635.439,23502.245
Solomon Islands,813,SLB,767.971,786.877,757.961,689.407,669.398,592.013,512.757,523.77,579.556,552.165,667.386,687.074,789.67,858.033,1057.3,1195.517,1279.824,1303.415,1083.924,1116.043,923.454,897.55,744.048,704.085,793.967,915.158,980.042,1048.642,1207.902,1160.785,1293.864,1733.71,1935.74,2010.288,2042.088,1971.553,2056.559,2114.677
Somalia,726,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,199,ZAF,2853.526,2865.01,2561.74,2783.1,2400.34,1792.065,2003.023,2570.271,2704.735,2753.513,3140.342,3289.043,3481.424,3390.848,3446.835,3752.371,3499.207,3555.703,3159.402,3087.271,3039.041,2667.881,2520.59,3772.06,4868.697,5412.942,5638.677,6123.957,5802.368,5926.398,7380.615,8083.126,7574.427,6907.599,6508.779,5800.506,5326.729,6182.253
South Sudan,733,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.739,1041.463,1337.232,1309.952,1051.185,241.527,234.336
Spain,184,ESP,6112.881,5368.609,5158.755,4490.713,4460.603,4683.157,6461.294,8167.057,9574.946,10540.022,13649.281,14661.18,15973.582,13376.558,13386.457,15437.363,16055.974,14746.417,15418.912,15774.437,14721.704,15365.803,17075.474,21528.292,24981.314,26547.913,28530.039,32748.087,35725.345,32412.772,30803.472,31868.855,28583.739,29237.722,29686.682,25849.685,26681.824,28377.759
Sri Lanka,524,LKA,322.965,331.567,353.509,377.207,437.452,428.513,454.721,468.846,485.167,482.128,546.34,591.047,629.976,666.435,761.443,802.019,873.67,968.151,992.407,992.638,1031.359,983.965,1027.565,1125.194,1221.079,1431.295,1645.073,1869.834,2336.438,2396.633,2807.661,3212.756,3349.776,3608.294,3818.396,3842.252,3856.824,4073.44
St. Kitts and Nevis,361,KNA,1338.747,1609.725,1847.251,1829.835,2144.801,2406.13,2851.256,3289.063,3926.955,4392.77,4969.878,4912.915,5386.942,5806.085,6407.518,6819.77,7195.174,8010.438,8260.891,8670.829,9544.827,10327.642,10652.251,10270.537,11032.717,11884.778,13355.566,14541.886,15762.704,15074.213,14904.948,15742.955,15219.198,15977.284,17061.303,17247.171,17485.915,17905.339
St. Lucia,362,LCA,1307.489,1472.199,1370.524,1455.75,1830.898,2038.936,2400.742,2613.95,2947.654,3281.755,3865.76,4036.227,4364.173,4403.753,4499.232,4716.078,4798.43,4817.864,5164.448,5365.735,5348.428,5056.054,5059.127,5499.454,5875.116,6182.276,6818.842,7600.339,7554.224,7762.925,8440.588,8629.369,8502.323,8674.491,8954.21,9466.526,9678.511,10312.361
St. Vincent and the Grenadines,364,VCT,836.554,1028.229,1136.548,1212.18,1329.011,1423.424,1561.255,1693.036,1923.88,2047.706,2274.42,2392.789,2610.526,2689.605,2719.644,2969.99,3116.21,3270.011,3513.884,3675.552,3728.551,4047.314,4327.554,4494.099,4847.173,5091.592,5623.323,5973.546,6366.698,6172.788,6224.215,6171.48,6318.54,6569.923,6622.343,6867.925,7000.324,7124.386
Sudan,732,SDN,486.908,339.389,239.807,318.513,375.019,253.184,328.588,516.781,404.705,696.391,87.197,95.292,113.476,186.506,205.922,239.507,292.909,350.723,366.582,352.442,422.316,492.676,554.652,635.575,772.939,996.677,1249.767,1599.596,1700.513,1401.244,1637.419,2034.461,1396.292,1462.582,1628.497,1698.87,1403.228,1120.008
Suriname,366,SUR,,,,,,,,,,,1320.196,1434.456,1313.625,1020.848,1133.128,2120.745,2605.667,2750.695,3264.332,2649.744,2712.6,2301.928,2872.138,3335.527,3789.587,4483.534,5208.555,5758.066,6832.947,7394.097,8224.066,8190.699,9194.151,9351.962,9379.003,8439.174,5498.942,5260.044
Sweden,144,SWE,16611.449,15153.907,13370.536,12287.58,12780.659,13345.566,17574.09,21282.666,23951.918,24985.746,29792.963,31075.224,32142.437,24034.57,25672.068,29911.82,32614.252,29932.755,30180.212,30601.857,29287.801,26970.431,29566.176,36936.664,42407.825,43048.112,46145.739,53185.652,55592.669,46047.306,51925.595,59454.397,56978.613,60069.346,58930.154,50565.098,51245.363,52924.365
Switzerland,146,CHE,18869.568,17190.991,17508.115,17360.011,16532.256,16694.338,23816.313,29646.522,31881.397,30545.678,38660.028,38655.814,39686.859,38242.326,41996.762,48833.742,46764.51,40469.55,41547.909,40642.238,37993.795,38715.763,41554.546,48284.636,53446.727,55115.307,57801.077,63959.837,72941.175,70321.898,74884.834,88903.378,83958.545,85675.755,87161.617,82510.452,80490.76,80642.579
Syria,463,SYR,1421.836,1763.344,1784.577,1849.427,1839.915,1965.139,2284.039,2823.157,1389.823,800.859,967.145,972.175,983.575,995.061,1060.707,1133.162,1186.162,1080.812,1028.169,1043.174,1202.891,1236.897,1305.087,1208.885,1361.499,1510.392,1726.028,2016.052,2557.211,2557.267,2806.685,,,,,,,
Taiwan Province of China,528,TWN,2367.6,2692.406,2675.823,2882.402,3203.468,3295.112,4010.111,5325.216,6337.499,7577.046,8178.152,9092.114,10725.702,11200.814,12108.752,13076.007,13597.248,13968.097,12787.258,13768.274,14876.879,13408.383,13715.525,14094.37,15360.724,16503.313,16984.54,17780.925,18102.946,16959.775,19261.667,20911.643,21269.614,21887.992,22638.917,22373.564,22572.702,24389.677
Tajikistan,923,TJK,,,,,,,,,,,,,52.622,121.645,147.923,100.448,183.374,192.58,222.282,177.712,159.417,167.035,187.958,236.394,308.844,337.129,401.586,519.025,702.445,666.024,738.287,834.52,949.648,1040.15,1105.197,919.073,795.981,800.802
Tanzania,738,TZA,398.213,462.384,515.824,513.729,454.85,399.694,492.451,236.583,221.861,181.658,138.792,157.932,140.479,125.671,129.715,147.749,179.54,211.07,303.01,363.109,378.494,378.881,383.7,399.475,425.476,450.395,481.665,541.793,671.868,683.856,725.765,765.333,882.479,996.777,1069.71,993.839,1022.542,1064.457
Thailand,578,THA,718.751,751.856,773.787,835.332,853.682,775.776,840.475,969.076,1159.092,1349.927,1571.257,1777.473,2025.518,2234.179,2515.154,2871.564,3071.062,2492.616,1866.597,2057.318,2030.725,1921.673,2133.115,2404.937,2714.64,2955.79,3442.387,4058.386,4471.123,4298.296,5174.529,5600.64,5979.218,6296.192,6079.686,5967.672,6113.799,6730.558
Timor-Leste,537,TLS,,,,,,,,,,,,,,,,,,,,,489.866,569.609,554.016,580.466,1132.771,1870.683,2687.664,2851.49,4246.847,3060.187,3782.707,5272.736,6052.99,5002.922,3494.848,2620.3,2079.628,2239.694
Togo,742,TGO,556.562,447.164,363.666,334.431,296.437,300.4,407.291,463.246,500.235,477.391,560.68,541.946,557.234,416.361,315.859,406.548,431.283,425.029,388.934,377.803,311.499,300.953,337.732,409.209,427.308,422.158,425.298,444.013,539.752,533.049,527.823,579.544,565.01,613.632,633.067,563.759,589.74,614.969
Tonga,866,TON,802.903,886.55,878.894,853.099,890.429,836.907,999.884,1081.019,1264.565,1523.205,1578.512,1816.713,1868.532,1944.448,2103.954,2199.634,2410.489,2254.233,2012.456,2035.946,1965.571,1775.167,1908.075,2108.806,2454.269,2788.968,2889.027,3142.198,3337.897,3295.282,3788.677,4412.213,4442.354,4303.082,4277.608,4021.72,4249.137,4520.886
Trinidad and Tobago,369,TTO,5844.663,6451.064,7389.246,6935.75,6827.598,6407.753,4118.845,4083.147,3796.412,3623.428,4219.122,4390.015,4471.243,3741.17,4024.875,4319.496,4655.849,4629.726,4869.365,5475.183,6541.694,7042.209,7158.999,8927.638,10438.77,12467.75,14273.555,16807.873,21464.21,14801.21,16957.995,19320.961,19208.072,20173.251,20288.06,18470.339,15913.981,16107.406
Tunisia,744,TUN,1482.823,1390.414,1309.899,1322.84,1286.6,1271.845,1312.226,1382.408,1411.506,1386.015,1636.643,1687.19,1973.446,1814.879,1903.845,2156.454,2299.375,2210.809,2295.188,2388.986,2213.949,2254.913,2345.99,2762.051,3112.91,3194.48,3371.538,3778.375,4308.482,4131.023,4140.485,4256.837,4137.576,4198.848,4274.471,3827.641,3666.308,3464.718
Turkey,186,TUR,2132.148,2111.547,1875.285,1752.07,1667.262,1833.859,1982.413,2259.887,2335.486,2707.186,3735.77,3686.18,3817.294,4259.482,3024.163,3877.104,4095.582,4220.595,4387.308,4019.001,4218.859,3053.282,3589.386,4642.902,5952.828,7277.942,7898.992,9562.939,10691.762,8881.762,10475.567,11140.952,11552.693,12395.369,12022.18,10914.886,10817.389,10537.186
Turkmenistan,925,TKM,,,,,,,,,,,,,239.149,1335.633,1102.518,1394.427,554.283,614.767,647.355,861.861,1109.216,1514.431,1880.287,2443.634,3004.972,3596.234,4429.641,5312.927,4350.129,4036.459,4439.203,5649.978,6675.276,7304.421,7962.366,6432.669,6412.135,6642.523
Tuvalu,869,TUV,,,,,,,,,,,,,,,,,,,,,,,1661.535,1946.376,2255.915,2229.48,2324.759,2713.056,3053.405,2683.967,3059.159,3687.994,3541.906,3499.048,3459.462,3280.974,3362.05,3688.651
Uganda,746,UGA,512.2,804.731,541.848,601.022,447.813,396.289,381.127,592.632,591.643,462.395,363.928,183.801,166.503,190.45,266.865,309.747,309.377,326.722,310.18,285.563,273.964,268.065,278.964,278.825,331.993,372.282,406.739,488.914,604.626,628.759,662.223,669.297,755.416,767.235,775.095,646.894,676.948,702.244
Ukraine,926,UKR,,,,,,,,,,,,,427.863,677.261,740.97,752.339,914.348,1037.893,874.265,664.99,664.376,784.864,885.315,1055.946,1374.753,1839.515,2319.286,3101.388,3944.724,2557.279,2982.814,3589.632,3872.534,3968.797,3053.608,2124.619,2200.002,2655.939
United Arab Emirates,466,ARE,40014.582,40910.917,35767.654,31690.067,29017.094,27035.998,20533.019,21644.071,18435.195,20478.526,26621.511,25847.406,25960.965,25654.369,25762.53,26394.423,29058.859,29523.485,25897.653,27321.043,34688.979,32621.292,32790.711,35017.312,39304.507,43988.667,44313.586,41472.286,39074.838,30920.447,35064.255,41194.733,42723.581,43197.43,43340.018,37380.571,36226.239,37732.656
United Kingdom,112,GBR,10734.566,10429.255,9925.51,9456.7,8943.273,9491.989,11551.068,14294.994,17364.253,17617.847,20808.225,21671.879,22305.36,19925.662,21344.249,23026.709,24256.456,26647.953,28077.336,28435.056,28043.874,27510.331,29912.986,34302.415,40111.752,41842.698,44403.814,50315.557,47469.38,38601.319,39122.192,41649.659,42023.101,42981.253,47003.879,44494.861,40657.859,39975.378
United States,111,USA,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34494.539,36317.741,37101.103,37971.28,39411.546,41629.858,44025.56,46213.508,47869.24,48283.413,47007.674,48402.581,49825.501,51556.171,53061.235,54992.725,56770.397,57876.631,59894.998
Uruguay,298,URY,3810.865,4224.261,3431.162,1871.395,1768.228,1716.873,2119.542,2637.021,2712.191,2842.578,3289.118,3940.854,4501.823,5213.029,6015.243,6601.537,6974.809,7295.989,7667.105,7193.466,6817.363,6238.214,4073.418,3614.627,4102.584,5189.889,5842.813,6984.815,9029.327,9372.485,11859.898,14054.33,14961.681,16723.447,16572.362,15365.956,15139.12,16941.557
Uzbekistan,927,UZB,,,,,,,,,,,,,166.616,251.774,292.666,448.126,601.909,616.106,616.901,693.22,560.173,468.772,384.502,398.329,466.848,549.947,647.084,836.59,1056.624,1215.273,1404.853,1577.476,1753.442,1923.754,2069.774,2143.26,2124.108,1520.097
Vanuatu,846,VUT,1053.849,956.137,930.89,931.689,1111.403,976.747,918.675,989.126,1092.048,1054.904,1141.043,1333.385,1357.696,1277.011,1422.849,1479.565,1511.705,1537.62,1441.112,1435.664,1422.228,1317.091,1313.463,1542.059,1743.244,1824.378,1985.275,2353.462,2614.735,2593.711,2841.209,3093.464,3067.747,3108.791,3110.706,2880.948,2929.517,3158.835
Venezuela,299,VEN,4671.078,5085.58,5041.589,4883.234,3447.45,3472.186,3488.564,2619.24,3292.792,2378.158,2492.939,2685.293,2968.496,2876.077,2741.979,3559.77,3174.631,3777.785,3973.415,4121.578,4823.961,4965.408,3790.656,3265.553,4309.504,5418.439,6609.949,8133.306,10464.263,8442.837,10316.832,11541.876,11287.303,7869.442,7029.892,10568.1,9092.02,4717.533
Vietnam,582,VNM,513.965,250.859,326.329,482.44,822.549,251.202,556.019,674.88,365.892,97.158,98.032,113.654,144.149,189.261,230.314,288.874,337.524,361.908,360.925,374.722,401.567,413.342,440.209,489.034,603.668,699.682,796.928,920.463,1154.493,1181.448,1297.226,1532.311,1750.756,1898.898,2047.429,2085.714,2172.012,2353.356
Yemen,474,YEM,,,,,,,,,,,1046.183,1158.438,1351.436,1558.429,1919.182,840.832,411.266,418.526,374.911,439.292,539.641,532.421,560.031,597.771,682.148,797.704,881.648,971.326,1171.169,1060.926,1266.787,1302.302,1367.715,1515.946,1574.246,1507.171,1063.025,894.642
Zambia,754,ZMB,718.795,718.743,672.013,562.441,448.532,412.851,276.151,332.268,543.316,561.832,509.752,446.778,424.949,405.587,405.544,410.542,378.71,440.701,352.627,330.283,340.164,376.986,376.468,429.01,530.54,691.785,1030.282,1103.452,1365.692,1134.758,1456.162,1635.505,1724.711,1839.537,1727.026,1310.354,1252.698,1500.646
Zimbabwe,698,ZWE,,,,,,,,,,,1036.534,936.263,748.65,702.439,714.032,717.092,849.876,881.223,1029.202,1003.834,969.824,964.08,922.878,822.472,806.898,764.632,677.881,646.558,553.376,790.352,975.851,1131.836,1310.366,1421.548,1415.027,1412.315,1382.89,1471.406