,Country,WEO,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Continent
462,Latvia,941.0,LVA,444.0,548.0,711.0,683.0,458.0,605.0,768.0,892.0,568.0,455.0,444.0,435.0,426.0,436.0,424.0,384.0,480.0,391.0,359.0,Europe
463,Lebanon,446.0,LBN,3033.0,3662.0,4579.0,3935.0,2956.0,3818.0,4282.0,4083.0,4267.0,4254.0,3831.0,3487.0,3295.0,2879.0,2783.0,3245.0,2813.0,2971.0,2818.0,Asia
464,Lesotho,666.0,LSO,5.0,9.0,6.0,13.0,5.0,14.0,12.0,18.0,14.0,16.0,14.0,23.0,25.0,17.0,20.0,13.0,23.0,19.0,24.0,Africa
465,Liberia,668.0,LBR,1351.0,1570.0,2273.0,2869.0,1766.0,2757.0,4880.0,6887.0,4102.0,7193.0,7641.0,4837.0,4151.0,4109.0,3334.0,3874.0,3795.0,3619.0,4155.0,Africa
466,Libya,672.0,LBY,156.0,180.0,223.0,158.0,140.0,185.0,223.0,271.0,186.0,285.0,296.0,355.0,357.0,315.0,376.0,524.0,734.0,642.0,780.0,Africa
467,Lithuania,946.0,LTU,1147.0,1349.0,1732.0,1786.0,2266.0,2480.0,2417.0,1885.0,1361.0,967.0,1069.0,985.0,936.0,924.0,854.0,747.0,750.0,735.0,645.0,Europe
468,Luxembourg,137.0,LUX,11.0,26.0,34.0,32.0,16.0,13.0,35.0,28.0,39.0,28.0,30.0,22.0,24.0,19.0,40.0,26.0,27.0,34.0,33.0,Europe
469,Macao SAR,546.0,MAC,294.0,270.0,340.0,284.0,244.0,192.0,133.0,189.0,178.0,205.0,158.0,143.0,130.0,120.0,106.0,105.0,99.0,109.0,109.0,Asia
501,Madagascar,674.0,MDG,26.0,33.0,61.0,43.0,40.0,54.0,60.0,72.0,53.0,77.0,71.0,80.0,83.0,79.0,95.0,86.0,72.0,88.0,60.0,Africa
502,Malawi,676.0,MWI,41.0,61.0,70.0,56.0,62.0,83.0,131.0,131.0,123.0,133.0,164.0,164.0,123.0,192.0,159.0,172.0,160.0,205.0,228.0,Africa
503,Malaysia,548.0,MYS,991.0,1551.0,2439.0,2124.0,1200.0,1987.0,2632.0,2281.0,2149.0,1945.0,2014.0,1714.0,2273.0,2605.0,2477.0,2622.0,2749.0,3382.0,4109.0,Asia
504,Maldives,556.0,MDV,0.0,,9.0,9.0,15.0,7.0,6.0,,9.0,,6.0,5.0,3.0,3.0,5.0,13.0,8.0,11.0,5.0,Asia
505,Mali,678.0,MLI,72.0,109.0,119.0,105.0,124.0,163.0,277.0,408.0,412.0,523.0,576.0,528.0,629.0,734.0,667.0,604.0,587.0,598.0,544.0,Africa
506,Malta,181.0,MLT,43.0,54.0,57.0,44.0,37.0,57.0,74.0,70.0,53.0,66.0,58.0,74.0,51.0,62.0,43.0,39.0,58.0,65.0,75.0,Europe
507,Marshall Islands,867.0,MHL,3.0,3.0,,26.0,26.0,48.0,32.0,53.0,48.0,39.0,48.0,37.0,38.0,50.0,46.0,56.0,32.0,32.0,23.0,Oceania
539,Mauritania,682.0,MRT,24.0,88.0,117.0,124.0,131.0,170.0,275.0,720.0,651.0,844.0,597.0,495.0,393.0,410.0,354.0,320.0,298.0,317.0,287.0,Africa
540,Mauritius,684.0,MUS,38.0,54.0,84.0,83.0,57.0,65.0,99.0,108.0,88.0,83.0,110.0,84.0,101.0,77.0,83.0,81.0,96.0,110.0,96.0,Africa
541,Mexico,273.0,MEX,147402.0,173493.0,205560.0,218822.0,115585.0,175411.0,161445.0,173749.0,148640.0,189989.0,164920.0,139120.0,143446.0,146406.0,135028.0,134052.0,158619.0,174534.0,170581.0,Latin America and the Caribbean
542,Micronesia,868.0,FSM,,5.0,9.0,,4.0,5.0,6.0,12.0,7.0,13.0,16.0,10.0,9.0,13.0,4.0,5.0,6.0,11.0,6.0,Oceania
574,Mongolia,948.0,MNG,41.0,46.0,102.0,135.0,153.0,229.0,323.0,497.0,530.0,659.0,831.0,594.0,774.0,691.0,729.0,651.0,644.0,750.0,661.0,Asia
575,Montenegro,943.0,MNE,,,,,,,,,,,,120.0,204.0,265.0,265.0,289.0,251.0,387.0,323.0,Europe
607,Morocco,686.0,MAR,2970.0,3614.0,4958.0,3387.0,3137.0,4128.0,4411.0,4949.0,4513.0,4425.0,5447.0,5013.0,4399.0,3656.0,3336.0,3605.0,3710.0,4586.0,4229.0,Africa
608,Mozambique,688.0,MOZ,31.0,41.0,48.0,54.0,36.0,59.0,54.0,78.0,81.0,69.0,66.0,53.0,60.0,94.0,73.0,71.0,107.0,101.0,96.0,Africa
609,Namibia,728.0,NAM,13.0,30.0,54.0,46.0,40.0,40.0,63.0,56.0,57.0,46.0,53.0,60.0,43.0,59.0,57.0,44.0,86.0,87.0,130.0,Africa
610,Nepal,558.0,NPL,453.0,616.0,945.0,1137.0,2095.0,2878.0,3158.0,3733.0,3472.0,4093.0,4514.0,7115.0,10166.0,11312.0,13046.0,12357.0,12926.0,12851.0,11610.0,Asia
611,Netherlands,138.0,NLD,773.0,1337.0,1679.0,1549.0,981.0,1303.0,1815.0,1651.0,1368.0,1240.0,1499.0,1321.0,1085.0,1091.0,1142.0,1195.0,1309.0,1319.0,1056.0,Europe
674,New Zealand,196.0,NZL,522.0,964.0,1205.0,1117.0,877.0,1131.0,1293.0,1100.0,1047.0,893.0,947.0,919.0,803.0,814.0,921.0,796.0,855.0,846.0,798.0,Oceania
675,Nicaragua,278.0,NIC,13327.0,20947.0,19634.0,10659.0,4094.0,4009.0,3305.0,4145.0,3716.0,3614.0,4137.0,3565.0,3401.0,3046.0,3048.0,2886.0,3324.0,3486.0,3072.0,Latin America and the Caribbean
676,Niger,692.0,NER,12.0,30.0,1330.0,1263.0,808.0,62.0,126.0,116.0,97.0,107.0,183.0,96.0,96.0,48.0,37.0,71.0,55.0,119.0,116.0,Africa
677,Nigeria,694.0,NGA,6742.0,7831.0,8253.0,8105.0,7872.0,9374.0,10597.0,13459.0,12448.0,12475.0,15253.0,13376.0,11824.0,13575.0,13840.0,12828.0,11542.0,14380.0,13539.0,Africa
709,Norway,142.0,NOR,307.0,459.0,547.0,431.0,320.0,405.0,423.0,481.0,343.0,350.0,407.0,334.0,339.0,276.0,335.0,271.0,310.0,362.0,290.0,Europe
710,Oman,449.0,OMN,40.0,51.0,55.0,61.0,76.0,122.0,101.0,155.0,103.0,70.0,74.0,63.0,60.0,74.0,73.0,90.0,85.0,116.0,104.0,Asia
711,Pakistan,564.0,PAK,13485.0,14504.0,16393.0,13694.0,9415.0,12086.0,14926.0,17418.0,13492.0,19719.0,21555.0,18258.0,15546.0,14740.0,13251.0,18612.0,18057.0,19313.0,17408.0,Asia
712,Palau,565.0,PLW,,3.0,,10.0,8.0,6.0,8.0,8.0,11.0,6.0,16.0,18.0,7.0,10.0,16.0,12.0,15.0,14.0,13.0,Oceania
713,Panama,283.0,PAN,1640.0,1829.0,1867.0,1680.0,1164.0,1417.0,1815.0,2418.0,1916.0,1678.0,1806.0,1536.0,1374.0,1281.0,1234.0,1095.0,1052.0,1029.0,889.0,Latin America and the Caribbean
714,Papua New Guinea,853.0,PNG,14.0,21.0,26.0,26.0,34.0,19.0,44.0,30.0,31.0,15.0,19.0,30.0,20.0,21.0,27.0,18.0,11.0,23.0,18.0,Oceania
715,Paraguay,288.0,PRY,216.0,338.0,401.0,356.0,207.0,328.0,516.0,719.0,545.0,481.0,530.0,467.0,500.0,467.0,448.0,391.0,382.0,434.0,391.0,Latin America and the Caribbean
716,Peru,293.0,PER,8414.0,9579.0,11062.0,11918.0,9409.0,11794.0,15676.0,21718.0,17699.0,15184.0,16957.0,14247.0,14064.0,12609.0,12564.0,10606.0,10148.0,10940.0,10115.0,Latin America and the Caribbean
717,Philippines,566.0,PHL,30943.0,42343.0,52919.0,51040.0,45250.0,57846.0,60746.0,74606.0,72596.0,54030.0,60029.0,58173.0,57011.0,57327.0,54446.0,49996.0,56478.0,53287.0,49147.0,Asia
718,Poland,964.0,POL,8773.0,10090.0,11769.0,12711.0,10510.0,14326.0,15351.0,17051.0,10355.0,8354.0,8754.0,7643.0,6863.0,6300.0,6430.0,5689.0,5275.0,5603.0,4845.0,Europe
719,Portugal,182.0,PRT,1058.0,1343.0,1609.0,1313.0,808.0,1069.0,1125.0,1409.0,1019.0,772.0,946.0,755.0,821.0,811.0,918.0,892.0,857.0,1006.0,939.0,Europe
720,Qatar,453.0,QAT,78.0,97.0,125.0,108.0,72.0,125.0,174.0,226.0,138.0,151.0,134.0,148.0,193.0,141.0,191.0,202.0,229.0,272.0,224.0,Asia
721,Republic of Congo,634.0,COG,190.0,189.0,311.0,677.0,513.0,670.0,1064.0,1600.0,972.0,950.0,1563.0,968.0,1371.0,1461.0,1059.0,552.0,496.0,625.0,632.0,Africa
722,Moldova,921.0,MDA,753.0,1251.0,2068.0,2103.0,1151.0,1507.0,3506.0,3036.0,1356.0,1692.0,2295.0,1981.0,2258.0,2021.0,2485.0,2341.0,2496.0,2929.0,2480.0,Europe
723,Romania,968.0,ROU,5678.0,6863.0,6628.0,4887.0,3655.0,4571.0,7103.0,7137.0,5802.0,4930.0,4910.0,4003.0,3882.0,3748.0,3773.0,3246.0,3376.0,3554.0,2953.0,Europe
724,Russia,922.0,RUS,17343.0,20203.0,23020.0,23174.0,15007.0,18339.0,20954.0,19388.0,14516.0,16965.0,14149.0,11696.0,11631.0,11265.0,11017.0,10215.0,9821.0,10339.0,9857.0,Europe
725,Rwanda,714.0,RWA,97.0,73.0,148.0,217.0,109.0,163.0,276.0,502.0,357.0,378.0,952.0,489.0,520.0,592.0,540.0,555.0,732.0,1357.0,1394.0,Africa
726,St. Kitts and Nevis,361.0,KNA,463.0,500.0,463.0,342.0,310.0,299.0,342.0,458.0,347.0,363.0,310.0,339.0,350.0,311.0,259.0,263.0,222.0,250.0,238.0,Latin America and the Caribbean
727,St. Lucia,362.0,LCA,529.0,599.0,674.0,583.0,488.0,616.0,832.0,1212.0,928.0,946.0,1027.0,872.0,785.0,919.0,853.0,844.0,739.0,777.0,777.0,Latin America and the Caribbean
728,St. Vincent and the Grenadines,364.0,VCT,442.0,497.0,559.0,480.0,322.0,400.0,625.0,756.0,567.0,568.0,591.0,576.0,468.0,503.0,529.0,448.0,415.0,422.0,361.0,Latin America and the Caribbean
729,Samoa,862.0,WSM,91.0,184.0,165.0,157.0,178.0,203.0,173.0,283.0,290.0,227.0,250.0,219.0,267.0,238.0,237.0,239.0,207.0,219.0,194.0,Oceania
730,Sao Tome and Principe,716.0,STP,1.0,8.0,,4.0,,9.0,8.0,6.0,7.0,7.0,11.0,10.0,9.0,12.0,6.0,5.0,6.0,12.0,10.0,Africa
731,Saudi Arabia,456.0,SAU,759.0,1063.0,1178.0,1014.0,735.0,906.0,1210.0,1542.0,1171.0,1194.0,1418.0,1263.0,1396.0,1343.0,1463.0,1696.0,1744.0,2117.0,2135.0,Asia
732,Senegal,722.0,SEN,368.0,554.0,663.0,530.0,522.0,769.0,913.0,1367.0,1024.0,1149.0,1524.0,1285.0,1424.0,1615.0,1340.0,1273.0,1244.0,1533.0,1470.0,Africa
733,Serbia,942.0,SRB,,,,,,,,,,,,20.0,244.0,704.0,866.0,1143.0,1278.0,1351.0,1410.0,Europe
734,Serbia,942.0,SRB,1886.0,2742.0,6203.0,10387.0,2994.0,3331.0,5202.0,5891.0,3586.0,3255.0,3166.0,2196.0,1398.0,801.0,653.0,267.0,232.0,202.0,144.0,Europe
735,Seychelles,718.0,SYC,10.0,18.0,18.0,20.0,16.0,25.0,16.0,15.0,7.0,16.0,10.0,8.0,15.0,7.0,6.0,7.0,11.0,16.0,10.0,Africa
736,Sierra Leone,724.0,SLE,970.0,1585.0,1878.0,2246.0,1492.0,1596.0,2731.0,3572.0,1999.0,2795.0,2687.0,2011.0,1985.0,1688.0,1651.0,1740.0,1599.0,1535.0,2058.0,Africa
737,Singapore,576.0,SGP,355.0,668.0,1100.0,1033.0,582.0,966.0,1204.0,997.0,985.0,922.0,832.0,774.0,690.0,712.0,835.0,779.0,781.0,812.0,818.0,Asia
769,Slovak Republic,936.0,SVK,492.0,549.0,809.0,725.0,674.0,800.0,965.0,1111.0,763.0,653.0,706.0,538.0,594.0,528.0,507.0,460.0,424.0,483.0,388.0,Europe
770,Slovenia,961.0,SVN,58.0,76.0,142.0,140.0,64.0,88.0,114.0,115.0,87.0,79.0,108.0,74.0,69.0,86.0,62.0,78.0,107.0,119.0,108.0,Europe
771,Solomon Islands,813.0,SLB,,7.0,7.0,7.0,5.0,6.0,3.0,5.0,10.0,7.0,,,,,,,,,,Oceania
772,Somalia,726.0,SOM,1690.0,2393.0,3007.0,4535.0,2444.0,3929.0,5829.0,9462.0,6251.0,10745.0,13390.0,4558.0,4451.0,5204.0,3764.0,5190.0,6796.0,6958.0,7404.0,Africa
773,South Africa,199.0,ZAF,1577.0,2824.0,4090.0,3861.0,2210.0,3370.0,4536.0,3201.0,2988.0,2723.0,3171.0,2758.0,2649.0,2781.0,2629.0,2676.0,2907.0,3023.0,2912.0,Africa
774,Korea,542.0,KOR,12795.0,15721.0,20532.0,20724.0,12382.0,19766.0,26562.0,24386.0,22405.0,26666.0,25859.0,22227.0,22824.0,20846.0,23166.0,20423.0,17138.0,21801.0,19194.0,Asia
775,South Sudan,733.0,SSD,,,,,,,,,,,,,,17.0,59.0,74.0,127.0,124.0,160.0,Africa
776,Spain,184.0,ESP,869.0,1254.0,1711.0,1361.0,917.0,1339.0,1888.0,1971.0,1578.0,1621.0,1769.0,1684.0,1890.0,1842.0,2480.0,2928.0,3303.0,3519.0,3045.0,Europe
777,Sri Lanka,524.0,LKA,899.0,1118.0,1505.0,1529.0,1246.0,1431.0,1894.0,2191.0,1831.0,1935.0,2009.0,2036.0,2053.0,1994.0,1847.0,1767.0,1763.0,1913.0,1627.0,Asia
778,Sudan,732.0,SDN,1346.0,1531.0,1650.0,2921.0,1883.0,3211.0,5231.0,5504.0,2930.0,3598.0,3577.0,2397.0,2628.0,2471.0,1945.0,2442.0,3580.0,3159.0,3515.0,Africa
779,Suriname,366.0,SUR,141.0,256.0,245.0,247.0,180.0,166.0,300.0,314.0,197.0,218.0,227.0,216.0,196.0,187.0,178.0,158.0,134.0,156.0,136.0,Latin America and the Caribbean
780,Eswatini,734.0,SWZ,8.0,12.0,18.0,12.0,23.0,15.0,16.0,11.0,13.0,18.0,42.0,22.0,19.0,24.0,15.0,23.0,19.0,20.0,19.0,Africa
781,Sweden,144.0,SWE,821.0,1264.0,1682.0,1376.0,963.0,1270.0,1517.0,1376.0,1145.0,1019.0,1138.0,1097.0,979.0,968.0,1106.0,954.0,1066.0,1144.0,950.0,Europe
782,Switzerland,146.0,CHE,647.0,1029.0,1298.0,1004.0,632.0,855.0,1092.0,983.0,705.0,720.0,798.0,675.0,615.0,635.0,697.0,656.0,640.0,743.0,565.0,Europe
783,Syria,463.0,SYR,2048.0,2367.0,3350.0,2557.0,1938.0,2256.0,2831.0,2918.0,2385.0,2641.0,2442.0,2555.0,2785.0,3014.0,3366.0,3540.0,3840.0,4800.0,5877.0,Asia
784,Taiwan Province of China,528.0,TWN,6700.0,9019.0,12120.0,9775.0,6917.0,9005.0,9196.0,8086.0,8990.0,9073.0,8038.0,6732.0,6154.0,5331.0,5385.0,4697.0,4888.0,5120.0,4858.0,Asia
785,Tajikistan,923.0,TJK,104.0,156.0,187.0,181.0,137.0,167.0,207.0,239.0,172.0,231.0,265.0,299.0,382.0,411.0,550.0,516.0,595.0,593.0,652.0,Asia
786,Tanzania,738.0,TZA,313.0,480.0,476.0,577.0,554.0,747.0,829.0,949.0,832.0,838.0,2773.0,1850.0,1427.0,1516.0,837.0,774.0,799.0,788.0,1415.0,Africa
787,Thailand,578.0,THA,2366.0,3753.0,4245.0,4144.0,3126.0,4318.0,5505.0,11749.0,8751.0,6637.0,10444.0,9384.0,9962.0,9459.0,7583.0,6197.0,7502.0,7039.0,6311.0,Asia
788,Togo,742.0,TGO,254.0,386.0,487.0,935.0,1187.0,2041.0,1523.0,1720.0,1565.0,1661.0,1680.0,1563.0,1506.0,1756.0,1257.0,1612.0,1547.0,1938.0,1572.0,Africa
789,Tonga,866.0,TON,281.0,349.0,327.0,331.0,238.0,327.0,309.0,437.0,438.0,365.0,379.0,343.0,408.0,276.0,348.0,320.0,327.0,283.0,262.0,Oceania
790,Trinidad and Tobago,369.0,TTO,4259.0,6635.0,6618.0,5738.0,4138.0,5384.0,6568.0,8854.0,6829.0,5937.0,6256.0,5435.0,5023.0,5214.0,4724.0,3988.0,3212.0,3469.0,3100.0,Latin America and the Caribbean
791,Tunisia,744.0,TUN,150.0,307.0,438.0,540.0,353.0,457.0,495.0,510.0,417.0,410.0,416.0,418.0,440.0,422.0,445.0,429.0,518.0,518.0,535.0,Africa
792,Turkey,186.0,TUR,2215.0,2606.0,3215.0,3375.0,3029.0,3835.0,4614.0,4941.0,4425.0,4210.0,4958.0,4483.0,4403.0,4162.0,4144.0,3834.0,4201.0,4469.0,4844.0,Asia
793,Turkmenistan,925.0,TKM,65.0,97.0,94.0,93.0,84.0,117.0,148.0,248.0,217.0,274.0,290.0,224.0,260.0,223.0,210.0,254.0,226.0,235.0,251.0,Asia
856,Uganda,746.0,UGA,250.0,418.0,457.0,575.0,455.0,721.0,858.0,1372.0,1122.0,1174.0,1364.0,1085.0,1239.0,1340.0,1350.0,1409.0,1664.0,1649.0,1898.0,Africa
857,Ukraine,926.0,UKR,10102.0,15511.0,20914.0,21190.0,11633.0,14156.0,22745.0,17140.0,11001.0,10813.0,11223.0,8477.0,8292.0,7642.0,8193.0,7752.0,7987.0,10422.0,10135.0,Europe
858,United Arab Emirates,466.0,ARE,310.0,435.0,460.0,472.0,380.0,586.0,812.0,1006.0,758.0,693.0,697.0,779.0,707.0,854.0,910.0,1039.0,1193.0,1370.0,1314.0,Asia
859,United Kingdom,112.0,GBR,7647.0,13273.0,18278.0,16297.0,9527.0,14915.0,19800.0,17207.0,14545.0,14348.0,15748.0,12792.0,11572.0,12014.0,12984.0,12225.0,12592.0,12673.0,10948.0,Europe
860,United States,111.0,USA,29.0,35.0,63.0,64.0,32.0,57.0,183.0,333.0,171.0,216.0,181.0,201.0,269.0,279.0,319.0,358.0,370.0,468.0,409.0,Northern America
861,Uruguay,298.0,URY,267.0,426.0,541.0,536.0,469.0,787.0,1154.0,1664.0,1418.0,1451.0,1775.0,1331.0,1553.0,1374.0,1352.0,1128.0,1078.0,972.0,1001.0,Latin America and the Caribbean
862,Uzbekistan,927.0,UZB,1221.0,1631.0,2031.0,2317.0,1445.0,1995.0,2887.0,4015.0,4665.0,6375.0,5467.0,4770.0,5056.0,4726.0,4382.0,5194.0,3977.0,4359.0,4095.0,Asia
863,Venezuela,299.0,VEN,2498.0,4693.0,5170.0,5228.0,4018.0,6220.0,10645.0,11341.0,10692.0,10514.0,11154.0,9409.0,9183.0,9387.0,9572.0,8427.0,9144.0,10772.0,11809.0,Latin America and the Caribbean
864,Vietnam,582.0,VNM,20335.0,26553.0,35419.0,33563.0,22087.0,31524.0,32784.0,30691.0,28691.0,31497.0,29234.0,30632.0,34157.0,28304.0,27101.0,30283.0,30832.0,41451.0,38231.0,Asia
865,Yemen,474.0,YEM,1160.0,1789.0,1607.0,1227.0,1382.0,1760.0,3366.0,4308.0,2396.0,1872.0,3134.0,3591.0,3361.0,2620.0,3532.0,3492.0,3194.0,13040.0,6029.0,Asia
866,Zambia,754.0,ZMB,143.0,211.0,295.0,308.0,280.0,359.0,499.0,672.0,576.0,613.0,704.0,628.0,652.0,643.0,505.0,441.0,460.0,487.0,537.0,Africa
867,Zimbabwe,698.0,ZWE,184.0,322.0,475.0,484.0,358.0,628.0,923.0,1049.0,1057.0,953.0,983.0,1274.0,1016.0,914.0,924.0,797.0,779.0,815.0,810.0,Africa
